. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #21	10   	-9993.58628	Yes        	4        	0.665    	0.184    	 0.34956   0.19881   0.21198   0.23964	-0.61500   0.10541   0.42037   0.08922  
      	     	          	           	          	           	             	                                      	 0.18533  -1.55256   0.13195   1.23528  
      	     	          	           	          	           	             	                                      	 0.69320   0.12375  -0.87919   0.06224  
      	     	          	           	          	           	             	                                      	 0.13014   1.02485   0.05506  -1.21006  

  #22	10   	-9918.15086	Yes        	4        	0.770    	0.248    	 0.34292   0.19655   0.21772   0.24281	-0.62216   0.10958   0.43157   0.08101  
      	     	          	           	          	           	             	                                      	 0.19118  -1.60612   0.12792   1.28702  
      	     	          	           	          	           	             	                                      	 0.67973   0.11548  -0.83447   0.03926  
      	     	          	           	          	           	             	                                      	 0.11442   1.04180   0.03521  -1.19142  

  #23	10   	-9774.96535	Yes        	4        	0.970    	0.322    	 0.33137   0.18670   0.21801   0.26391	-0.66884   0.11002   0.44670   0.11213  
      	     	          	           	          	           	             	                                      	 0.19526  -1.64379   0.15824   1.29029  
      	     	          	           	          	           	             	                                      	 0.67898   0.13552  -0.85082   0.03632  
      	     	          	           	          	           	             	                                      	 0.14079   0.91281   0.03000  -1.08360  

  #24	10   	-9437.93730	Yes        	4        	0.707    	0.232    	 0.35587   0.18247   0.21510   0.24656	-0.68366   0.10848   0.45062   0.12457  
      	     	          	           	          	           	             	                                      	 0.21156  -1.57537   0.14936   1.21445  
      	     	          	           	          	           	             	                                      	 0.74551   0.12670  -0.90871   0.03650  
      	     	          	           	          	           	             	                                      	 0.17980   0.89877   0.03184  -1.11041  

  #25	10   	-9646.60085	Yes        	4        	0.816    	0.220    	 0.34277   0.19062   0.22536   0.24125	-0.67533   0.14093   0.43045   0.10394  
      	     	          	           	          	           	             	                                      	 0.25343  -1.64775   0.18178   1.21255  
      	     	          	           	          	           	             	                                      	 0.65472   0.15376  -0.82060   0.01213  
      	     	          	           	          	           	             	                                      	 0.14768   0.95805   0.01133  -1.11706  

  #26	10   	-9547.18614	Yes        	4        	0.492    	0.148    	 0.34444   0.19399   0.21638   0.24519	-0.66539   0.14008   0.45576   0.06955  
      	     	          	           	          	           	             	                                      	 0.24871  -1.57566   0.10685   1.22010  
      	     	          	           	          	           	             	                                      	 0.72548   0.09580  -0.88318   0.06190  
      	     	          	           	          	           	             	                                      	 0.09770   0.96536   0.05463  -1.11769  

  #27	10   	-10055.05496	Yes        	4        	3.604    	0.437    	 0.32693   0.20763   0.21845   0.24699	-0.71389   0.12969   0.46006   0.12414  
      	     	          	           	          	           	             	                                      	 0.20420  -1.45314   0.14313   1.10581  
      	     	          	           	          	           	             	                                      	 0.68851   0.13604  -0.85794   0.03338  
      	     	          	           	          	           	             	                                      	 0.16431   0.92958   0.02952  -1.12342  

  #28	10   	-9696.74006	Yes        	4        	0.780    	0.240    	 0.34126   0.18569   0.22691   0.24614	-0.66418   0.08845   0.46720   0.10853  
      	     	          	           	          	           	             	                                      	 0.16256  -1.61926   0.19994   1.25675  
      	     	          	           	          	           	             	                                      	 0.70267   0.16362  -0.87886   0.01257  
      	     	          	           	          	           	             	                                      	 0.15047   0.94807   0.01159  -1.11012  

  #29	10   	-9928.63395	Yes        	4        	0.912    	0.227    	 0.33558   0.19681   0.22768   0.23992	-0.69298   0.13414   0.45862   0.10022  
      	     	          	           	          	           	             	                                      	 0.22872  -1.51347   0.13571   1.14905  
      	     	          	           	          	           	             	                                      	 0.67595   0.11731  -0.85734   0.06409  
      	     	          	           	          	           	             	                                      	 0.14018   0.94259   0.06082  -1.14359  

  #30	10   	-9786.06341	Yes        	4        	0.502    	0.156    	 0.33591   0.20524   0.21015   0.24870	-0.63708   0.15158   0.42120   0.06429  
      	     	          	           	          	           	             	                                      	 0.24808  -1.57982   0.12778   1.20396  
      	     	          	           	          	           	             	                                      	 0.67326   0.12480  -0.85836   0.06029  
      	     	          	           	          	           	             	                                      	 0.08684   0.99358   0.05094  -1.13136  

  #31	10   	-9942.16430	Yes        	4        	0.746    	0.189    	 0.34876   0.19728   0.21322   0.24074	-0.60008   0.11430   0.38051   0.10528  
      	     	          	           	          	           	             	                                      	 0.20207  -1.66139   0.13547   1.32386  
      	     	          	           	          	           	             	                                      	 0.62240   0.12534  -0.76098   0.01324  
      	     	          	           	          	           	             	                                      	 0.15251   1.08484   0.01172  -1.24908  

  #32	10   	-9583.24837	Yes        	4        	0.753    	0.219    	 0.35136   0.20042   0.21878   0.22944	-0.60185   0.11763   0.39947   0.08475  
      	     	          	           	          	           	             	                                      	 0.20623  -1.63256   0.20488   1.22145  
      	     	          	           	          	           	             	                                      	 0.64155   0.18768  -0.84144   0.01221  
      	     	          	           	          	           	             	                                      	 0.12978   1.06693   0.01165  -1.20836  

  #33	10   	-9730.54306	Yes        	4        	0.517    	0.162    	 0.33726   0.21028   0.21443   0.23803	-0.57537   0.10988   0.38513   0.08036  
      	     	          	           	          	           	             	                                      	 0.17624  -1.57751   0.14939   1.25189  
      	     	          	           	          	           	             	                                      	 0.60572   0.14649  -0.80488   0.05266  
      	     	          	           	          	           	             	                                      	 0.11386   1.10594   0.04744  -1.26724  

  #34	10   	-9717.98376	Yes        	4        	0.576    	0.181    	 0.35269   0.20350   0.19797   0.24585	-0.65168   0.10835   0.45257   0.09076  
      	     	          	           	          	           	             	                                      	 0.18779  -1.45679   0.11469   1.15431  
      	     	          	           	          	           	             	                                      	 0.80628   0.11789  -0.98441   0.06024  
      	     	          	           	          	           	             	                                      	 0.13019   0.95544   0.04850  -1.13413  

  #35	10   	-9780.00829	Yes        	4        	0.885    	0.278    	 0.33209   0.19219   0.23556   0.24016	-0.65064   0.12618   0.42440   0.10006  
      	     	          	           	          	           	             	                                      	 0.21803  -1.63638   0.15510   1.26325  
      	     	          	           	          	           	             	                                      	 0.59832   0.12655  -0.77299   0.04812  
      	     	          	           	          	           	             	                                      	 0.13836   1.01091   0.04720  -1.19647  

  #36	10   	-9833.85991	Yes        	4        	0.766    	0.212    	 0.35196   0.18875   0.22614   0.23315	-0.69757   0.11938   0.49645   0.08174  
      	     	          	           	          	           	             	                                      	 0.22261  -1.46712   0.10335   1.14115  
      	     	          	           	          	           	             	                                      	 0.77264   0.08626  -0.94552   0.08662  
      	     	          	           	          	           	             	                                      	 0.12339   0.92381   0.08402  -1.13122  

  #37	10   	-9681.33388	Yes        	4        	0.640    	0.188    	 0.35686   0.19426   0.22955   0.21932	-0.58547   0.11483   0.37755   0.09309  
