. Sequence file : [sup35_aln_best_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.17134  -1.51765   0.14032   1.20599  
      	     	          	           	          	           	             	                                      	 0.67462   0.12669  -0.83152   0.03021  
      	     	          	           	          	           	             	                                      	 0.14296   1.04551   0.02900  -1.21747  

  #30	10   	-9682.20352	Yes        	4        	1.839    	0.398    	 0.34606   0.19617   0.23850   0.21926	-0.69019   0.12026   0.43936   0.13058  
      	     	          	           	          	           	             	                                      	 0.21215  -1.49164   0.16719   1.11230  
      	     	          	           	          	           	             	                                      	 0.63749   0.13752  -0.81757   0.04256  
      	     	          	           	          	           	             	                                      	 0.20609   0.99516   0.04629  -1.24755  

  #31	10   	-9618.94387	Yes        	4        	1.839    	0.398    	 0.35021   0.18616   0.22630   0.23733	-0.66121   0.11985   0.44372   0.09765  
      	     	          	           	          	           	             	                                      	 0.22546  -1.60500   0.16088   1.21866  
      	     	          	           	          	           	             	                                      	 0.68668   0.13234  -0.87038   0.05137  
      	     	          	           	          	           	             	                                      	 0.14409   0.95590   0.04898  -1.14897  

  #32	10   	-9748.44101	Yes        	4        	1.839    	0.398    	 0.32961   0.20793   0.22028   0.24218	-0.62745   0.09083   0.40491   0.13171  
      	     	          	           	          	           	             	                                      	 0.14398  -1.48553   0.09205   1.24950  
      	     	          	           	          	           	             	                                      	 0.60589   0.08689  -0.75739   0.06462  
      	     	          	           	          	           	             	                                      	 0.17926   1.07280   0.05877  -1.31083  

  #33	10   	-9425.48602	Yes        	4        	1.839    	0.398    	 0.34938   0.20022   0.21674   0.23366	-0.62291   0.11202   0.43646   0.07443  
      	     	          	           	          	           	             	                                      	 0.19547  -1.59263   0.18222   1.21493  
      	     	          	           	          	           	             	                                      	 0.70356   0.16833  -0.88404   0.01215  
      	     	          	           	          	           	             	                                      	 0.11129   1.04104   0.01127  -1.16361  

  #34	10   	-9747.12145	Yes        	4        	1.839    	0.398    	 0.33746   0.18573   0.23973   0.23708	-0.67599   0.12192   0.44263   0.11145  
      	     	          	           	          	           	             	                                      	 0.22151  -1.62825   0.13432   1.27242  
      	     	          	           	          	           	             	                                      	 0.62307   0.10406  -0.77137   0.04424  
      	     	          	           	          	           	             	                                      	 0.15864   0.99684   0.04473  -1.20021  

